rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
1,Auburn University,Alabama,54400,104500,51,31
2,University of Alabama in Huntsville,Alabama,57500,103900,59,45
4,Tuskegee University,Alabama,54500,93500,61,30
5,Samford University,Alabama,48400,90500,52,3
6,Spring Hill College,Alabama,46600,89100,53,12
8,University of Alabama at Birmingham,Alabama,48600,87200,57,17
9,University of South Alabama,Alabama,47700,86400,56,17
11,Troy University,Alabama,44500,81500,60,8
12,Jacksonville State University,Alabama,43800,80000,61,7
13,Auburn University at Montgomery,Alabama,45000,79600,61,12
14,Huntingdon College,Alabama,42400,78900,69,14
15,Oakwood University,Alabama,43500,78800,71,16
15,Athens State University,Alabama,45000,78800,51,9
17,University of West Alabama,Alabama,42700,76100,61,4
18,University of North Alabama,Alabama,43000,75600,61,6
19,University of Mobile,Alabama,40600,74100,77,7
20,Alabama State University,Alabama,39800,71500,61,16
21,Faulkner University,Alabama,39400,71300,61,2
22,University of Montevallo,Alabama,38900,70700,49,7
23,Judson College,Alabama,37900,67600,65,13
24,Amridge University,Alabama,35700,65900,NA,0
25,Miles College,Alabama,34800,65100,64,19
1,University of Alaska Fairbanks,Alaska,59100,101800,54,20
2,University of Alaska Anchorage,Alaska,56000,101000,57,10
3,Alaska Pacific University,Alaska,50300,90000,67,6
2,University of Arizona,Arizona,56100,101000,51,23
4,Northern Arizona University,Arizona,49600,90000,56,12
5,Arizona Christian University,Arizona,42600,76600,NA,7
7,Prescott College,Arizona,41200,73500,69,0
1,University of Arkansas,Arkansas,52500,98000,49,18
2,Hendrix College,Arkansas,48100,90300,58,33
3,University of Arkansas for Medical Sciences,Arkansas,51700,89100,84,3
4,Harding University,Arkansas,49200,88600,47,10
5,John Brown University,Arkansas,47000,82700,53,9
7,University of Arkansas at Little Rock,Arkansas,45600,80800,55,13
8,Ouachita Baptist University,Arkansas,44100,80200,58,18
10,Henderson State University,Arkansas,42900,79800,57,5
10,University of Central Arkansas,Arkansas,44900,79800,52,8
