name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total
Adams State University,Colorado,CO,Public,4 Year,8782,9440,18222,20456,29238
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200,15150,19350,15150,19350
Agnes Scott College,Georgia,GA,Private,4 Year,12330,41160,53490,41160,53490
Alabama State University,Alabama,AL,Public,4 Year,5422,11068,16490,19396,24818
Alaska Pacific University,Alaska,AK,Private,4 Year,7300,20830,28130,20830,28130
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200,32060,45260,32060,45260
Albion College,Michigan,MI,Private,4 Year,12380,45775,58155,45775,58155
Alcorn State University,Mississippi,MS,Public,4 Year,9608,7144,16752,7144,16752
Allen College,Iowa,IA,Private,4 Year,7282,19970,27252,19970,27252
Alma College,Michigan,MI,Private,4 Year,10998,40258,51256,40258,51256
Amberton University,Texas,TX,Private,4 Year,NA,12840,12840,12840,12840
Amherst College,Massachusetts,MA,Private,4 Year,14740,56426,71166,56426,71166
Amridge University,Alabama,AL,Private,4 Year,NA,6900,6900,6900,6900
Andrews University,Michigan,MI,Private,4 Year,9078,29288,38366,29288,38366
Arizona Christian University,Arizona,AZ,Private,4 Year,10674,26796,37470,26796,37470
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870,9068,16938,15848,23718
Armstrong State University,Georgia,GA,Public,4 Year,11385,6384,17769,19866,31251
Asbury University,Kentucky,KY,Private,4 Year,7160,30198,37358,30198,37358
Athens State University,Alabama,AL,Public,4 Year,NA,6810,6810,12870,12870
Auburn University,Alabama,AL,Public,4 Year,13332,11276,24608,30524,43856
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980,10288,17268,22048,29028
Augsburg University,Minnesota,MN,Private,4 Year,10280,38800,49080,38800,49080
Augusta University,Georgia,GA,Public,4 Year,9640,10758,20398,29796,39436
Austin Peay State University,Tennessee,TN,Public,4 Year,10700,8411,19111,24467,35167
Avila University,Missouri,MO,Private,4 Year,7200,19900,27100,19900,27100
Babson College,Massachusetts,MA,Private,4 Year,16312,51104,67416,51104,67416
Baker University,Kansas,KS,Private,4 Year,8410,29830,38240,29830,38240
Ball State University,Indiana,IN,Public,4 Year,10234,9896,20130,26468,36702
Barry University,Florida,FL,Private,4 Year,11100,29850,40950,29850,40950
Bastyr University,Washington,WA,Private,4 Year,7590,26166,33756,26166,33756
Bates College,Maine,ME,Private,4 Year,15224,53794,69018,53794,69018
Baylor University,Texas,TX,Private,4 Year,12595,45727,58322,45727,58322
Belhaven University,Mississippi,MS,Private,4 Year,8500,25300,33800,25300,33800
Bellarmine University,Kentucky,KY,Private,4 Year,12250,42200,54450,42200,54450
Bellevue College,Washington,WA,Public,2 Year,NA,4258,4258,9689,9689
Bellevue University,Nebraska,NE,Private,4 Year,8730,9390,18120,9390,18120
Bellin College,Wisconsin,WI,Private,4 Year,NA,22178,22178,22178,22178
Belmont University,Tennessee,TN,Private,4 Year,12120,34310,46430,34310,46430
Beloit College,Wisconsin,WI,Private,4 Year,8830,50040,58870,50040,58870
Benedictine College,Kansas,KS,Private,4 Year,10300,29530,39830,29530,39830
Bennington College,Vermont,VT,Private,4 Year,15610,54360,69970,54360,69970
Bentley University,Massachusetts,MA,Private,4 Year,16320,49880,66200,49880,66200
Berea College,Kentucky,KY,Private,4 Year,6764,39990,46754,39990,46754
Berry College,Georgia,GA,Private,4 Year,12770,36556,49326,36556,49326
Boise State University,Idaho,ID,Public,4 Year,10692,7694,18386,23776,34468
Boston College,Massachusetts,MA,Private,4 Year,14478,55464,69942,55464,69942
Boston University,Massachusetts,MA,Private,4 Year,15720,53948,69668,53948,69668
Bowdoin College,Maine,ME,Private,4 Year,14698,53922,68620,53922,68620
Bowie State University,Maryland,MD,Public,4 Year,10904,8233,19137,18873,29777
Bradley University,Illinois,IL,Private,4 Year,10620,33760,44380,33760,44380
Brandeis University,Massachusetts,MA,Private,4 Year,15440,55395,70835,55395,70835
